id,"category","name","url","image","author","updatetime","status","news","description","datetime","path"
1,"玄幻奇幻","万古神帝","http://www.xxbiquge.com/20_20331/","http://www.xxbiquge.com/cover/20/20331/20331s.jpg","飞天鱼","2017-03-31 00:17:23","连载中","第1211章 阴阳海","【NEXTIDEA暨2015星创奖征文大赏（玄幻）】    八百年前，明帝之子张若尘，被他的未婚妻池瑶公主杀死，一代无上天骄，就此陨落。    八百年后，张若尘重新活了过来，却发现曾经杀死他的未婚妻，已经统一昆仑界，开辟出第一中央帝国，号称“池瑶女皇”。    池瑶女皇——统御天下，威临八方；青春永驻，不死不灭。    张若尘站在诸皇祠堂外，望着池瑶女皇的神像，心中","2017-03-31 09:37:59","/Users/gzw/Documents/workspace/python/20_20331"
2,"玄幻奇幻","雪鹰领主","http://www.xxbiquge.com/12_12416/","http://www.xxbiquge.com/cover/12/12416/12416s.jpg","我吃西红柿","2017-03-31 01:39:34","连载中","第36篇 究极 第1章 切磋","  深海魔兽的呼吸形成永不停息的风暴…… 熔岩巨人的脚步毁灭一座座城池…… 深渊恶魔想要侵入这座世界…… 而神灵降临，行走人间传播他的光辉…… 然而整个世界由夏族帝国‘龙山帝国’统治，这是人类的帝国，知识渊博的法师们埋首于法师塔中百年千年，骑士们巡守天空大地海洋…… 在帝国的安阳行省，有一个很小很不起眼的贵族领地，叫——雪鹰领！","2017-03-31 09:39:24","/Users/gzw/Documents/workspace/python/12_12416"
3,"玄幻奇幻","太古神王","http://www.xxbiquge.com/10_10929/","http://www.xxbiquge.com/cover/10/10929/10929s.jpg","净无痕","2017-03-31 12:06:02","连载中","第1606章 美人投怀","【玄幻爽文】九天大陆，天穹之上有九条星河，亿万星辰，皆为武命星辰，武道之人，可沟通星辰，觉醒星魂，成武命修士。传说，九天大陆最为厉害的武修，每突破一个境界，便能开辟一扇星门，从而沟通一颗星辰，直至，让九重天上，都有自己的武命星辰，化身通天彻地的太古神王。亿万生灵、诸天万界，秦问天笑看苍天，他要做天空，最亮的那颗星辰。","2017-03-31 09:42:44","/Users/gzw/Documents/workspace/python/10_10929"
4,"玄幻奇幻","帝霸","http://www.xxbiquge.com/8_8109/","http://www.xxbiquge.com/cover/8/8109/8109s.jpg","厌笔萧生","2017-03-31 10:02:19","连载中","第2397章女武神的风姿","千万年前，李七夜栽下一株翠竹。
        八百万年前，李七夜养了一条鲤鱼。
        五百万年前，李七夜收养一个小女孩。
        今天，李七夜一觉醒来，翠竹修练成神灵，鲤鱼化作金龙，小女孩成为九界女帝。
        这是一个养成的故事，一个不死的人族小子养成了妖神、养成了仙兽、养成了女帝的故事。
        请关注作者的公众号“萧府军团”。
   ","2017-03-31 09:48:47","/Users/gzw/Documents/workspace/python/8_8109"
5,"玄幻奇幻","圣墟","http://www.xxbiquge.com/74_74821/","http://www.xxbiquge.com/cover/74/74821/74821s.jpg","辰东","2017-03-31 00:11:11","连载中","第三百零五章 妖圣手笔","在破败中崛起，在寂灭中复苏。    沧海成尘，雷电枯竭，那一缕幽雾又一次临近大地，世间的枷锁被打开了，一个全新的世界就此揭开神秘的一角……","2017-03-31 09:56:04","/Users/gzw/Documents/workspace/python/74_74821"
6,"玄幻奇幻","天神诀","http://www.xxbiquge.com/68_68406/","http://www.xxbiquge.com/cover/68/68406/68406s.jpg","太一生水","2017-03-31 12:05:44","连载中","第516章 伏尸千里，六昊公子","苍穹星域，武魂万千。    有飞龙在天，可一日千里。有霸气无双，可斗转星移。    杨青玄身怀十大至强武魂之一“天下有敌”，从此十荡十决，千军辟易！    （新书上架，望大家多推荐、多宣传、多收藏）","2017-03-31 09:57:25","/Users/gzw/Documents/workspace/python/68_68406"
7,"武侠仙侠","最强装逼打脸系统","http://www.xxbiquge.com/68_68340/","http://www.xxbiquge.com/cover/68/68340/68340s.jpg","太上布衣","2017-03-31 09:25:46","连载中","第576章 讲文明讲素质","【【2016星创奖之仙侠参赛作品】】    【2016最火爆免费新书】    “年轻人，当年我开始装逼的时候，你们还只是一滴液体！”    “仙子，随在下走一趟，保证带你装逼带你飞，带你一起嘿嘿嘿！”    身披狂徒铠甲，肩扛日炎斗篷。    左手无尽之刃，右手诛仙神剑。    横扫修仙界无敌手，就问一声还有谁？    装逼如风，常伴吾身！","2017-03-31 09:59:46","/Users/gzw/Documents/workspace/python/68_68340"
8,"玄幻奇幻","独步天途","http://www.xxbiquge.com/68_68295/","http://www.xxbiquge.com/cover/68/68295/68295s.jpg","玄雨","2017-03-31 09:04:01","连载中","第514章 功德金书（一）","浩渺大陆，奇珍长存，凶兽横行，武道成仙。    有神山高耸万丈，有仙河九曲成弯，自古时以来大陆之上风云轮转，乱世动荡。    少年张仲军，本应继承父亲爵位，却因天赋骤消，遭受陷害，垂死之际，乱入毒云瘴谷，结识一只古怪青蛙，本想夺舍的大青蛙，一时出错，同主角生命同盟，休戚与共。    得神蛙相助，张仲军自此扶摇而上，名动大陆。    无尽征程，踏天而行","2017-03-31 10:02:21","/Users/gzw/Documents/workspace/python/68_68295"
9,"玄幻奇幻","超凡传","http://www.xxbiquge.com/68_68000/","http://www.xxbiquge.com/cover/68/68000/68000s.jpg","萧潜","2017-03-31 09:02:15","连载中","第五百八十九章 打广告","万千星球，无尽修真。    道衍之争，万载不息。    衍修小师傅米小经，遭受灭门，由此投身到浩浩荡荡的命运河流之中。    身怀衍修至宝，又得道家老怪帮助，一路修行，修真世界的图卷徐徐展开。    玄奇法宝，凶险秘境。    道家仙人，一念动天地，衍家大修，真言压四方。    浩瀚宇宙，玄妙道法，万字真言。    米小经身怀","2017-03-31 10:04:36","/Users/gzw/Documents/workspace/python/68_68000"
10,"玄幻奇幻","弑天刃","http://www.xxbiquge.com/28_28941/","http://www.xxbiquge.com/cover/28/28941/28941s.jpg","小刀锋利","2017-03-16 23:56:28","连载中","第一千九百七十九章 永恒！（大结局）","江湖无道，拔刀而起，利刃横空，问心无愧。    众生无道，刀锋弑之。冷眼星空，持刀睥睨。    通天大道，一路荆棘，一刀斩开，唯我独尊！","2017-03-31 10:07:16","/Users/gzw/Documents/workspace/python/28_28941"
